5 of networks used
100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	100	0	0	0	0	0	0	0	0	0	0	0	100	0	
0	0	0	0	0	0	0	100	100	0	100	0	100	0	100	
0	0	0	0	100	100	100	0	0	0	100	0	0	0	100	
0	0	100	100	100	0	100	100	100	0	100	100	0	100	100	
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
0	0	100	100	100	100	100	100	100	0	100	100	100	100	100	
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100	0	0	0	0	0	0	100	100	100	0	100	100	100	0	
100	100	100	100	100	100	100	100	0	100	100	100	0	100	100	
100	0	100	100	100	100	100	100	100	100	100	100	100	100	0	
0	0	100	0	100	0	0	100	0	0	0	100	0	20	0	
100	100	100	100	100	100	100	100	0	0	0	0	100	0	100	
