5 of networks used
0	80	20	0	20	20	20	100	0	0	0	80	0	100	20	
0	0	100	100	100	100	0	100	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	100	0	0	100	0	0	0	0	0	0	100	0	
100	0	0	0	100	100	0	0	0	100	0	0	0	0	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	100	0	0	0	20	100	100	0	0	0	
0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
0	100	100	0	0	100	0	100	0	0	100	0	0	100	0	
0	100	0	0	0	0	0	100	0	0	0	100	100	100	100	
100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	
0	100	100	100	100	100	0	100	100	100	0	100	100	100	100	
100	100	100	100	100	100	100	0	0	100	100	100	100	100	100	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	
