5 of networks used
20	40	0	60	40	60	0	0	0	100	40	60	0	0	0	
100	100	100	20	100	80	100	100	100	100	100	100	100	40	80	
80	0	80	0	0	0	0	20	80	0	80	80	0	0	20	
20	0	0	0	0	0	0	100	0	0	0	100	0	100	100	
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
80	100	100	100	80	80	0	80	40	100	100	100	80	100	100	
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
0	100	100	100	0	0	100	20	0	0	60	0	100	0	0	
0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	
0	0	40	0	40	0	0	0	0	40	0	40	0	40	0	
100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	
100	100	100	100	80	100	0	80	80	0	80	100	80	100	100	
20	40	20	100	20	20	20	20	20	20	100	100	100	100	20	
60	60	60	60	60	60	60	60	100	60	100	100	100	100	60	
20	80	80	0	0	0	0	0	60	40	0	0	80	0	80	
